genotypes	doi	status	trial	blumeria_graminis	heading_date	lodging	plant_height	puccinia_hordei	pyrenophora_teres	ramularia_collo_cygni	rhynchosporium
Abbie		Elite	spring	1.607661268	75.67916931	2.174896356	75.67769594	3.277472024	1.407595773	3.42831066	1.310326236
Accordine		Elite	spring		75.25669698	2.475691995	82.11938062	3.051923952			
ACK-1		Elite	spring	1.297362304	75.20721665	1.733302778	78.22540257	2.689655165	1.790441191	4.426595048	1.321579256
ACK-10		Elite	spring	1.219230938	74.50211728	1.793565409	81.10949573	3.331775657	1.77857783	3.719439479	1.25173728
ACK-11		Elite	winter	3.087050196	135.410491		105.0001238	3.007082114	1.500005578	3.873129017	1.544285016
ACK-12		Elite	spring	2.733563746	74.52550934	2.051379518	86.97789231	3.865780443	1.75322207	2.977078929	1.308089243
ACK-13		Elite	winter	3.311860213	136.6521674	1.244920853	94.20991786	2.38860291	1.500002335	4.587936697	1.363953406
ACK-14		Elite	winter	2.271840404	131.7839928	2.025265233	98.99715675	2.853280622	1.500003361	5.011740952	2.04210971
ACK-15		Elite	winter	5.069882151	135.3885459	1.644890628	100.1293536	3.634944532	1.500004297	3.466737447	1.084627811
ACK-16		Elite	spring	3.048228626	75.16368332	1.800789048	83.43051142	2.392497441	1.385803373	3.159040802	1.308123267
ACK-2		Elite	winter	4.159446447	134.3525289	1.369465988	96.67813098	4.901388805	1.499999158	4.038399066	1.231744017
ACK-3		Elite	winter	4.373394401	133.7028912	1.15757286	110.8716205	3.938397133	1.499997993	5.000797567	1.788846741
ACK-4		Elite	winter	3.084139571	135.7092775	1.350424931	104.9444487	3.89523342	1.499999158	4.640300357	1.03775915
ACK-5		Elite	spring	1.402754221	73.80680462	1.687480617	81.27819884	4.420310356	1.781551212	4.325315604	1.322839031
ACK-6		Elite	spring	1.513280536	73.00030322	1.866753574	80.90839082	3.272720785	1.776933349	4.464059624	1.307509192
ACK-7		Elite	spring	1.273116748	72.14583984	1.811508144	77.03481955	3.937247653	1.746429513	5.25011125	1.309104335
ACK-8		Elite	spring	1.636397813	72.09844289	1.575076813	81.98823737	4.084083115	1.50168255	3.779771516	1.314984637
ACK-9		Elite	winter	2.616456028	133.8606707	2.772839028	113.2054868	4.342820596	1.499999563	3.232017338	1.226775085
Adalina		Elite	winter	4.564505948	133.0219709	1.940916602	104.791498	4.704376164	1.500004322	3.522105046	1.51603867
Advent		Elite	spring	1.282545663	75.29405435	1.644474162	84.55449674	2.704659937	1.397152156	4.365826741	1.344107518
AF-Cesar		Elite	spring	1.824626108	76.15450935	1.324642932	73.03060308	3.987689749	1.776338716	4.500978139	1.309002242
AF-Lucius		Elite	spring	3.557255932	78.74180339	1.593071519	83.591326	2.936407423	1.403215746	4.437046039	1.324556844
Afrodite		Elite	winter	1.562777156	130.6440726	4.22439795	115.5804694	5.25188436		1.321458683	3.256803173
Aida		Elite	winter	3.556418177	134.9013462	1.365806212	99.20515494	2.996081601	1.499997563	3.807928287	0.937511538
Airway		Elite	spring	1.422513744	75.35020872	1.54400155	84.01965112	2.339840503	2.006640171	3.094091779	1.312321401
Akcent		Elite	spring	2.118846253	75.02600135	1.346724921	80.04021115	2.23818106	2.131748936	4.521557705	1.309149836
Aksamit		Elite	spring	1.658119077	74.69349411	1.160769774	81.69455686	2.36839872	1.37698383	4.385427381	1.316316184
Albertine		Elite	winter	3.180000688	136.1465929	1.510106607	98.78307495	3.078000571	1.499999069	3.885331597	1.079658797
Aliciana		Elite	spring	2.280562163	74.32422301	1.740891513	81.5700258	2.435159827	1.757427777	3.302585212	1.3057131
Amadora		Elite	spring	1.399851787	72.6810561	1.588899886	77.22669886	4.285290114	1.72715801	3.745519057	1.30807905
Ambrosia		Elite	spring	3.163780342	79.32702336	1.657603308	82.92253771	3.013334901	1.782486617	2.589831131	1.398461187
Amidala		Elite	spring	1.989984728	72.90847304	2.199918569	76.27587097	3.115276952	2.361575541	4.224298135	1.276783233
Amistar		Elite	winter	6.589138619	132.9253747	1.74642917	103.3252682	3.724975859	1.500002588	4.368788682	1.677442248
Amulet		Elite	spring	2.835312948	74.01429377	2.442546063	80.77550615	3.180363224	2.081767837	3.714680823	1.347799677
Anja		Elite	winter	4.276054141	136.7376634	1.487665602	103.9044492	3.800702182	1.499998816	3.222187996	1.079658759
Antje		Elite	winter	2.534190253	136.0725179	1.959194849	116.3946672	4.153108705	1.500001626	4.90238914	1.286671559
Antonella		Elite	winter	3.019697482	136.903772	2.134539728	112.5064244	3.316778808	1.499999019	3.604785307	1.795364238
Arcanda		Elite	winter	2.411663088	134.3494122	1.827586585	102.1124159	2.244565353	1.499996208	4.449291347	1.166565918
Arenia		Elite	winter	2.920814432	133.8387036	1.818257974	102.1741851	5.660555098	1.500000069	5.87231137	1.23174408
Ariane		Elite	winter	2.287903953	136.2058824	1.817372322	94.03272203	3.363905464	1.499999019	3.343437831	1.373891306
Arthur		Elite	spring	2.169725662	75.10918952	1.498489697	84.37134405	2.559396466	2.760710605	3.700189432	1.255117837
Asta		Elite	spring	1.474720911	74.94637814	1.784790868	84.27392326	3.227694049	1.781691012	3.362848265	1.309443889
Astaire		Elite	winter	3.027663889	136.0230069	1.439763956	104.246231	4.834584662	1.500002702	5.285032347	1.291022042
Atlas		Elite	spring	2.784311373	75.4032268	1.636561435	82.73914471	3.653139978	1.741841677	4.31236669	1.308237993
